name,longitude,latitude
Мещерское,37.6323,55.278
Мещера,40.259366,55.996587
Мещера,43.172653,56.087246
Мещерские Горы,35.740709,56.201592
Мещера,39.928443,56.216459
Мещерские Дворы,36.673576,51.671425
Мещеры,42.603611,55.75861
Мещерское,42.443889,55.536944
Мещерево,54.086305,54.824643
Мещерка,37.894167,52.961111
Мещерино,38.357332,55.196011
Мещерское,44.157635,52.671466
Мещерка,40.239433,57.401807
Мещеринка,37.335472,51.831244
Мещериново,37.543118,54.842183
Мещерино,37.38271,53.614113
Мещерино,37.824032,55.49802
Мещерское,37.6124,55.27763
Мещериха,45.64467,57.986785
Мещерское,37.87778,54.144548
Мещерские Выселки,37.902646,54.124867
Мещерский,40.7181337,54.8940486
Мещеры,38.6001571,55.6092737
Мещерский,37.7128014,55.277659
Мещёрский,37.4173573,55.6716784
Мещёрская,34.4517357,55.3476711
Мещерский погост,39.3167,55.327038
Мещерский Городец,41.3974053,54.9497574
Мещера,37.3060754,57.6430013
Мещеры Большие,32.0148,58.1083
Мещерино,39.5892,57.912
Новомещерово,58.4024317,55.7032269
Старомещерово,58.4116746,55.734495
Мещериновка,49.5427,54.8747
Мещеринка Малая,56.3988,55.41
Мещеринка Большая,56.4373,55.4095
Мещерская Поросль,43.058744,56.1316117
Мещерка,39.6305855,52.286338
Мещерка,39.504816,56.468778
Мещерский Бор,40.0391395,55.2396987
Мещерский Липяжок,39.574149,52.293192
Мещерка,38.428178122852,54.193218030675
Мещерские выселки,39.324515,54.315972
Мещерки,42.5803657,56.1072244
Мещерских гор Никольский погост,43.083171,56.115879
Мещерское,39.927368,53.992684
Мещерский остров,42.9697222,56.1619444
Мещерская заводь озеро,43.0419444444444,56.1422222222222
Мещерский пруд,37.4066268,55.6720027
Мещерская Слобода,34.9803068,53.09131
Мещериха,37.3375,56.0638888888889
Мещериха,37.3761111111111,55.9836111111111
Мещерка,39.3628055555556,52.2271944444444
Мещерское озеро,43.9421545,56.3374804
Мещерское село,43.2782015,53.8115003
Мещеринова деревня,43.317684,53.8200127
Мещерские выселки,43.707699,53.26574
Мещерской овраг,41.8610614,55.4617762
Мещерка речка,42.099122,55.725757
Мещерское озеро,42.1259,55.724401
Мещерка река,42.912257,56.209986
Мещерка река,42.149963,55.353844
Мещерский овраг,43.294561,53.793543
Мещерка река,42.4756516,55.7798235
Мещерово,36.211952,56.223015
Мещерка пустошь,42.9776678,55.8359816
Мещера,41.7524658,54.9695198
Мещера местность на Везломе,44.093045,56.39286
Мещерская Варежка,43.7795011,53.2412599
Мещерягино,40.0023821,56.0226347
Мещорка река,39.4153115,53.7745296